season,total_pop,Capital,Others
2010_H,163784,61087,102697
2010_L,163784,61087,102697
2010_M,165256,62481,102775
2011_H,166728,63875,102853
2011_LM,172734,66664,106069
2012_H,178739,69454,109285
2012_L,178739,69454,109285
2012_M,180533,69627,110906
2013_H,182327,69800,112527
2013_L,182327,69800,112527
2013_M,184174,70775,113399
2014_H,186020,71749,114271
2014_L,186020,71749,114271
2014_M,187919,72210,115709
2015_H,189817,72671,117146
2015_L,189817,72671,117146
2015_M,191763,73694,118070
2016_HL,193709,74716,118993
